🔁 Duplication Summary per Class:
Class 74: 84 duplicated samples
Class 4: 138 duplicated samples
Class 56: 141 duplicated samples
Class 48: 136 duplicated samples
Class 83: 120 duplicated samples
Class 57: 80 duplicated samples
Class 65: 129 duplicated samples
Class 52: 130 duplicated samples
Class 32: 160 duplicated samples
Class 79: 73 duplicated samples
Class 18: 136 duplicated samples
Class 3: 156 duplicated samples
Class 22: 128 duplicated samples
Class 97: 114 duplicated samples
Class 39: 141 duplicated samples
Class 21: 123 duplicated samples
Class 14: 136 duplicated samples
Class 36: 76 duplicated samples
Class 89: 114 duplicated samples
Class 41: 123 duplicated samples
Class 66: 145 duplicated samples
Class 67: 152 duplicated samples
Class 47: 150 duplicated samples
Class 20: 168 duplicated samples
Class 40: 89 duplicated samples
Class 11: 122 duplicated samples
Class 77: 96 duplicated samples
Class 29: 118 duplicated samples
Class 42: 91 duplicated samples
Class 82: 92 duplicated samples
Class 9: 160 duplicated samples
Class 54: 150 duplicated samples
Class 98: 132 duplicated samples
Class 101: 136 duplicated samples
Class 59: 76 duplicated samples
Class 6: 168 duplicated samples
Class 38: 145 duplicated samples
Class 86: 132 duplicated samples
Class 15: 145 duplicated samples
Class 16: 118 duplicated samples
Class 81: 78 duplicated samples
Class 58: 141 duplicated samples
Class 55: 76 duplicated samples
Class 90: 106 duplicated samples
Class 63: 144 duplicated samples
Class 95: 128 duplicated samples
Class 51: 118 duplicated samples
Class 44: 168 duplicated samples
Class 33: 168 duplicated samples
Class 37: 156 duplicated samples
Class 84: 132 duplicated samples
Class 8: 160 duplicated samples
Class 61: 156 duplicated samples
Class 49: 128 duplicated samples
Class 75: 75 duplicated samples
Class 34: 150 duplicated samples
Class 24: 145 duplicated samples
Class 91: 138 duplicated samples
Class 13: 136 duplicated samples
Class 62: 152 duplicated samples
Class 60: 140 duplicated samples
Class 69: 129 duplicated samples
Class 31: 160 duplicated samples
Class 92: 160 duplicated samples
Class 64: 71 duplicated samples
Class 70: 110 duplicated samples
Class 10: 122 duplicated samples
Class 5: 160 duplicated samples
Class 71: 67 duplicated samples
Class 30: 144 duplicated samples
Class 53: 129 duplicated samples
Class 25: 145 duplicated samples
Class 2: 168 duplicated samples
Class 28: 110 duplicated samples
Class 100: 123 duplicated samples
Class 78: 145 duplicated samples
Class 7: 118 duplicated samples
Class 1: 126 duplicated samples
Class 68: 152 duplicated samples
Class 43: 130 duplicated samples
Class 85: 123 duplicated samples
Class 35: 106 duplicated samples
Class 23: 145 duplicated samples
Class 94: 90 duplicated samples
Class 19: 156 duplicated samples
Class 12: 136 duplicated samples
Class 0: 168 duplicated samples
Class 27: 138 duplicated samples
Class 46: 141 duplicated samples
Class 99: 136 duplicated samples
Class 17: 114 duplicated samples
Class 96: 138 duplicated samples
Class 26: 168 duplicated samples

🧪 Unique Augmentations Applied:
